iso3,country,un_region,income_group,year,thinness_pct,obesity_pct,overweight_pct
nan,AFG,SA,Low,2000,15.9,1.5,5.6
nan,AFG,SA,Low,2001,15.5,1.7,6.0
nan,AFG,SA,Low,2002,15.1,1.8,6.4
nan,AFG,SA,Low,2003,14.8,1.9,6.8
nan,AFG,SA,Low,2004,14.4,2.1,7.3
nan,AFG,SA,Low,2005,14.0,2.3,7.8
nan,AFG,SA,Low,2006,13.6,2.4,8.3
nan,AFG,SA,Low,2007,13.3,2.6,8.8
nan,AFG,SA,Low,2008,12.9,2.9,9.4
nan,AFG,SA,Low,2009,12.5,3.1,10.0
nan,AFG,SA,Low,2010,12.1,3.3,10.6
nan,AFG,SA,Low,2011,11.7,3.6,11.3
nan,AFG,SA,Low,2012,11.3,3.8,12.0
nan,AFG,SA,Low,2013,11.0,4.1,12.8
nan,AFG,SA,Low,2014,10.6,4.5,13.6
nan,AFG,SA,Low,2015,10.2,4.9,14.5
nan,AFG,SA,Low,2016,9.9,5.3,15.4
nan,AFG,SA,Low,2017,9.5,5.7,16.4
nan,AFG,SA,Low,2018,9.2,6.2,17.4
nan,AFG,SA,Low,2019,8.8,6.7,18.5
nan,AFG,SA,Low,2020,8.5,7.3,19.6
nan,AFG,SA,Low,2021,8.2,7.8,20.8
nan,AFG,SA,Low,2022,7.9,8.5,22.0
nan,AGO,ESA,Lower Middle,2000,9.5,1.2,5.3
nan,AGO,ESA,Lower Middle,2001,9.3,1.3,5.6
nan,AGO,ESA,Lower Middle,2002,9.2,1.4,5.9
nan,AGO,ESA,Lower Middle,2003,9.0,1.5,6.2
nan,AGO,ESA,Lower Middle,2004,8.8,1.6,6.4
nan,AGO,ESA,Lower Middle,2005,8.6,1.7,6.7
nan,AGO,ESA,Lower Middle,2006,8.4,1.8,7.0
nan,AGO,ESA,Lower Middle,2007,8.3,1.9,7.3
nan,AGO,ESA,Lower Middle,2008,8.1,2.0,7.6
nan,AGO,ESA,Lower Middle,2009,7.9,2.1,7.8
nan,AGO,ESA,Lower Middle,2010,7.8,2.2,8.1
nan,AGO,ESA,Lower Middle,2011,7.6,2.3,8.4
nan,AGO,ESA,Lower Middle,2012,7.5,2.4,8.6
nan,AGO,ESA,Lower Middle,2013,7.4,2.6,8.9
nan,AGO,ESA,Lower Middle,2014,7.2,2.7,9.2
nan,AGO,ESA,Lower Middle,2015,7.1,2.8,9.6
nan,AGO,ESA,Lower Middle,2016,7.0,3.0,9.9
nan,AGO,ESA,Lower Middle,2017,7.0,3.2,10.3
nan,AGO,ESA,Lower Middle,2018,6.9,3.4,10.7
nan,AGO,ESA,Lower Middle,2019,6.8,3.6,11.1
nan,AGO,ESA,Lower Middle,2020,6.7,3.9,11.6
nan,AGO,ESA,Lower Middle,2021,6.7,4.2,12.1
nan,AGO,ESA,Lower Middle,2022,6.6,4.4,12.6
nan,ALB,EECA,Upper Middle,2000,1.7,3.6,17.4
nan,ALB,EECA,Upper Middle,2001,1.7,3.7,17.8
nan,ALB,EECA,Upper Middle,2002,1.6,3.9,18.1
nan,ALB,EECA,Upper Middle,2003,1.6,4.0,18.5
nan,ALB,EECA,Upper Middle,2004,1.6,4.2,18.9
nan,ALB,EECA,Upper Middle,2005,1.5,4.3,19.3
nan,ALB,EECA,Upper Middle,2006,1.5,4.5,19.7
nan,ALB,EECA,Upper Middle,2007,1.5,4.7,20.0
nan,ALB,EECA,Upper Middle,2008,1.5,4.8,20.3
nan,ALB,EECA,Upper Middle,2009,1.5,5.0,20.5
nan,ALB,EECA,Upper Middle,2010,1.6,5.1,20.7
nan,ALB,EECA,Upper Middle,2011,1.6,5.3,20.9
nan,ALB,EECA,Upper Middle,2012,1.6,5.4,21.0
nan,ALB,EECA,Upper Middle,2013,1.7,5.6,21.1
nan,ALB,EECA,Upper Middle,2014,1.8,5.7,21.2
nan,ALB,EECA,Upper Middle,2015,1.9,5.9,21.3
nan,ALB,EECA,Upper Middle,2016,2.0,6.1,21.4
nan,ALB,EECA,Upper Middle,2017,2.1,6.3,21.5
nan,ALB,EECA,Upper Middle,2018,2.2,6.5,21.7
nan,ALB,EECA,Upper Middle,2019,2.4,6.8,21.9
nan,ALB,EECA,Upper Middle,2020,2.5,7.0,22.1
nan,ALB,EECA,Upper Middle,2021,2.7,7.3,22.3
nan,ALB,EECA,Upper Middle,2022,2.9,7.5,22.5
nan,AND,WE,High,2000,2.1,8.7,26.6
nan,AND,WE,High,2001,2.1,8.9,27.1
nan,AND,WE,High,2002,2.0,9.2,27.5
nan,AND,WE,High,2003,2.0,9.5,27.9
nan,AND,WE,High,2004,2.0,9.8,28.4
nan,AND,WE,High,2005,2.0,10.1,28.8
nan,AND,WE,High,2006,2.0,10.4,29.1
nan,AND,WE,High,2007,1.9,10.6,29.3
nan,AND,WE,High,2008,1.9,10.7,29.4
nan,AND,WE,High,2009,1.9,10.8,29.5
nan,AND,WE,High,2010,2.0,10.9,29.5
nan,AND,WE,High,2011,2.0,11.0,29.5
nan,AND,WE,High,2012,2.0,11.0,29.4
nan,AND,WE,High,2013,2.1,11.0,29.3
nan,AND,WE,High,2014,2.1,11.0,29.1
nan,AND,WE,High,2015,2.1,11.0,29.0
nan,AND,WE,High,2016,2.2,11.0,28.9
nan,AND,WE,High,2017,2.2,11.0,28.8
nan,AND,WE,High,2018,2.3,11.0,28.7
nan,AND,WE,High,2019,2.4,11.0,28.7
nan,AND,WE,High,2020,2.4,11.1,28.6
nan,AND,WE,High,2021,2.5,11.1,28.6
nan,AND,WE,High,2022,2.6,11.2,28.5
nan,ARE,MENA,High,2000,4.4,13.0,31.7
nan,ARE,MENA,High,2001,4.3,13.5,32.5
nan,ARE,MENA,High,2002,4.2,14.0,33.3
nan,ARE,MENA,High,2003,4.1,14.5,34.2
nan,ARE,MENA,High,2004,4.0,15.0,35.0
nan,ARE,MENA,High,2005,3.9,15.5,35.8
nan,ARE,MENA,High,2006,4.0,16.1,36.6
nan,ARE,MENA,High,2007,4.0,16.6,37.3
nan,ARE,MENA,High,2008,4.1,17.1,37.9
nan,ARE,MENA,High,2009,4.1,17.5,38.4
nan,ARE,MENA,High,2010,4.1,17.8,38.9
nan,ARE,MENA,High,2011,4.0,18.1,39.5
nan,ARE,MENA,High,2012,4.0,18.5,40.0
nan,ARE,MENA,High,2013,4.0,18.8,40.5
nan,ARE,MENA,High,2014,3.9,19.1,41.0
nan,ARE,MENA,High,2015,3.9,19.3,41.4
nan,ARE,MENA,High,2016,3.8,19.6,41.9
nan,ARE,MENA,High,2017,3.7,19.9,42.4
nan,ARE,MENA,High,2018,3.7,20.1,42.9
nan,ARE,MENA,High,2019,3.6,20.4,43.5
nan,ARE,MENA,High,2020,3.5,20.7,44.1
nan,ARE,MENA,High,2021,3.4,21.0,44.7
nan,ARE,MENA,High,2022,3.4,21.4,45.3
nan,ARG,LAC,Upper Middle,2000,2.1,5.8,23.2
nan,ARG,LAC,Upper Middle,2001,2.0,6.1,23.9
nan,ARG,LAC,Upper Middle,2002,1.9,6.4,24.7
nan,ARG,LAC,Upper Middle,2003,1.9,6.7,25.4
nan,ARG,LAC,Upper Middle,2004,1.8,7.1,26.1
nan,ARG,LAC,Upper Middle,2005,1.8,7.5,26.8
nan,ARG,LAC,Upper Middle,2006,1.8,7.9,27.6
nan,ARG,LAC,Upper Middle,2007,1.7,8.3,28.3
nan,ARG,LAC,Upper Middle,2008,1.7,8.7,29.0
nan,ARG,LAC,Upper Middle,2009,1.7,9.2,29.6
nan,ARG,LAC,Upper Middle,2010,1.7,9.7,30.3
nan,ARG,LAC,Upper Middle,2011,1.7,10.3,31.1
nan,ARG,LAC,Upper Middle,2012,1.7,10.9,31.8
nan,ARG,LAC,Upper Middle,2013,1.7,11.6,32.6
nan,ARG,LAC,Upper Middle,2014,1.8,12.3,33.4
nan,ARG,LAC,Upper Middle,2015,1.8,13.1,34.3
nan,ARG,LAC,Upper Middle,2016,1.9,14.0,35.2
nan,ARG,LAC,Upper Middle,2017,1.9,15.0,36.1
nan,ARG,LAC,Upper Middle,2018,2.0,16.0,37.1
nan,ARG,LAC,Upper Middle,2019,2.0,17.0,38.1
nan,ARG,LAC,Upper Middle,2020,2.1,18.1,39.1
nan,ARG,LAC,Upper Middle,2021,2.1,19.2,40.1
nan,ARG,LAC,Upper Middle,2022,2.2,20.3,41.1
nan,ARM,EECA,Upper Middle,2000,2.5,4.6,19.0
nan,ARM,EECA,Upper Middle,2001,2.4,4.6,18.8
nan,ARM,EECA,Upper Middle,2002,2.4,4.5,18.7
nan,ARM,EECA,Upper Middle,2003,2.3,4.5,18.5
nan,ARM,EECA,Upper Middle,2004,2.3,4.5,18.4
nan,ARM,EECA,Upper Middle,2005,2.3,4.6,18.4
nan,ARM,EECA,Upper Middle,2006,2.3,4.6,18.3
nan,ARM,EECA,Upper Middle,2007,2.3,4.7,18.3
nan,ARM,EECA,Upper Middle,2008,2.3,4.8,18.4
nan,ARM,EECA,Upper Middle,2009,2.3,5.0,18.5
nan,ARM,EECA,Upper Middle,2010,2.3,5.2,18.8
nan,ARM,EECA,Upper Middle,2011,2.4,5.5,19.1
nan,ARM,EECA,Upper Middle,2012,2.5,5.8,19.5
nan,ARM,EECA,Upper Middle,2013,2.6,6.1,19.9
nan,ARM,EECA,Upper Middle,2014,2.7,6.4,20.3
nan,ARM,EECA,Upper Middle,2015,2.8,6.7,20.8
nan,ARM,EECA,Upper Middle,2016,2.9,7.1,21.4
nan,ARM,EECA,Upper Middle,2017,3.0,7.5,22.0
nan,ARM,EECA,Upper Middle,2018,3.1,8.0,22.6
nan,ARM,EECA,Upper Middle,2019,3.3,8.4,23.2
nan,ARM,EECA,Upper Middle,2020,3.4,8.8,23.8
nan,ARM,EECA,Upper Middle,2021,3.6,9.2,24.4
nan,ARM,EECA,Upper Middle,2022,3.7,9.6,24.9
nan,ATG,LAC,High,2000,3.2,12.3,25.6
nan,ATG,LAC,High,2001,3.1,12.9,26.5
nan,ATG,LAC,High,2002,3.1,13.5,27.4
nan,ATG,LAC,High,2003,3.0,14.0,28.3
nan,ATG,LAC,High,2004,2.9,14.6,29.2
nan,ATG,LAC,High,2005,2.9,15.1,30.1
nan,ATG,LAC,High,2006,2.9,15.7,30.9
nan,ATG,LAC,High,2007,2.8,16.2,31.8
nan,ATG,LAC,High,2008,2.8,16.8,32.7
nan,ATG,LAC,High,2009,2.8,17.3,33.5
nan,ATG,LAC,High,2010,2.8,17.8,34.3
